Asset,Equal Weight,Max Sharpe,Min Volatility
SPY,0.25,0.3180996265392577,2.580262540278408e-18
TLT,0.25,0.4972574559656133,0.5393730478555868
GLD,0.25,0.18464291749512876,0.3106269521444132
BTC-USD,0.25,1.5878479629229114e-16,0.15
