Date,BTC-USD,GLD,SPY,TLT
2020-01-02,6985.47021484375,143.9499969482422,297.698974609375,115.44373321533203
2020-01-03,7344.88427734375,145.86000061035156,295.4447937011719,117.22154235839844
2020-01-06,7769.21923828125,147.38999938964844,296.5718688964844,116.5559310913086
2020-01-07,8163.6923828125,147.97000122070312,295.738037109375,115.9829330444336
2020-01-08,8079.86279296875,146.86000061035156,297.3141784667969,115.21619415283203
2020-01-09,7879.0712890625,146.02999877929688,299.330078125,115.62065124511719
2020-01-10,8166.55419921875,146.91000366210938,298.4687805175781,116.64861297607422
2020-01-13,8144.1943359375,145.82000732421875,300.52142333984375,116.29476165771484
2020-01-14,8827.7646484375,145.69000244140625,300.06329345703125,116.89295959472656
2020-01-15,8807.0107421875,146.5399932861328,300.74127197265625,117.66814422607422
2020-01-16,8723.7861328125,146.30999755859375,303.2430114746094,117.29741668701172
2020-01-17,8929.0380859375,146.5800018310547,304.18682861328125,116.29476165771484
2020-01-21,8745.89453125,146.74000549316406,303.5911865234375,117.51644897460938
2020-01-22,8680.8759765625,146.7899932861328,303.6278076171875,117.9292984008789
2020-01-23,8406.515625,147.1199951171875,303.97607421875,118.75511169433594
2020-01-24,8445.4345703125,147.97999572753906,301.2727966308594,119.71569061279297
2020-01-27,8909.8193359375,148.99000549316406,296.44354248046875,121.57780456542969
2020-01-28,9358.58984375,147.66000366210938,299.550048828125,120.62568664550781
2020-01-29,9316.6298828125,148.4600067138672,299.3026428222656,121.80525207519531
2020-01-30,9508.9931640625,148.47000122070312,300.27392578125,121.8221435546875
2020-01-31,9350.529296875,149.3300018310547,294.8216857910156,122.93437194824219
2020-02-03,9293.521484375,148.36000061035156,297.01171875,122.8347396850586
2020-02-04,9180.962890625,146.42999267578125,301.5385437011719,121.1805648803711
2020-02-05,9613.423828125,146.61000061035156,305.020751953125,119.85550689697266
2020-02-06,9729.8017578125,147.39999389648438,306.04705810546875,120.39569091796875
2020-02-07,9795.943359375,147.7899932861328,304.416015625,121.89793395996094
2020-02-10,9856.611328125,148.1699981689453,306.6885681152344,122.23552703857422
2020-02-11,10208.236328125,147.66000366210938,307.219970703125,121.61945343017578
2020-02-12,10326.0546875,147.5399932861328,309.1993408203125,121.00334930419922
2020-02-13,10214.3798828125,148.3800048828125,308.8695068359375,121.4675064086914
2020-02-14,10312.1162109375,149.0,309.36431884765625,121.99923706054688
2020-02-18,10141.99609375,150.91000366210938,308.567138671875,122.8347396850586
2020-02-19,9633.38671875,151.7899932861328,310.0423583984375,122.82635498046875
2020-02-20,9608.4755859375,152.41000366210938,308.7687072753906,123.7884292602539
